experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,turn_direction,turn_radius,obstacle_visibility,divergence,speed_level,speed_LvCounter,carSpeed,steerAngleAtTrialStart,x_rotAtTrialStart,y_rotAtTrialStart,z_rotAtTrialStart,cws_threshold_detection_distance,cws_warning_volume,cws_sensing_type,cws_warning_type,collision_has_occurred,time_of_collision,time_of_warning,road_vertices_location_0,roadTransformMat_location_0,simplecar_carTransformMatrix_location_0
cws_2,ImergenWstopsFull,1,99,1,99,983.68,989.57,left,64.29504,0.3,1.72,0,1,20.1,1.232314,0,0.663585,0,20,0.5,distance_threshold,auditory loom,False,NaN,NaN,cws_2/ImergenWstopsFull/S001/trackers/road_vertices_T099.csv,cws_2/ImergenWstopsFull/S001/trackers/roadTransformMat_T099.csv,cws_2/ImergenWstopsFull/S001/trackers/simplecar_carTransformMatrix_T099.csv
cws_2,ImergenWstopsFull,1,100,1,100,991.04,1001.3,left,64.29504,0.3,2.77,0,1,20.1,0.247192,0,0.924912,0,20,0.5,distance_threshold,auditory loom,True,997.0099,1002.763,cws_2/ImergenWstopsFull/S001/trackers/road_vertices_T100.csv,cws_2/ImergenWstopsFull/S001/trackers/roadTransformMat_T100.csv,cws_2/ImergenWstopsFull/S001/trackers/simplecar_carTransformMatrix_T100.csv
cws_2,ImergenWstopsFull,1,101,1,101,1002.77,1012.87,right,59.16269,0.3,3.15,0,1,20.1,1.734037,0,0.997563,0,20,0.5,distance_threshold,auditory loom,True,1009.1,1009.099,cws_2/ImergenWstopsFull/S001/trackers/road_vertices_T101.csv,cws_2/ImergenWstopsFull/S001/trackers/roadTransformMat_T101.csv,cws_2/ImergenWstopsFull/S001/trackers/simplecar_carTransformMatrix_T101.csv
cws_2,ImergenWstopsFull,1,102,1,102,1014.34,1023.88,left,52.93988,1,2.05,0,1,20.1,-2.221105,0,0.907654,0,20,0.5,distance_threshold,auditory loom,False,NaN,1025.349,cws_2/ImergenWstopsFull/S001/trackers/road_vertices_T102.csv,cws_2/ImergenWstopsFull/S001/trackers/roadTransformMat_T102.csv,cws_2/ImergenWstopsFull/S001/trackers/simplecar_carTransformMatrix_T102.csv
cws_2,ImergenWstopsFull,1,103,1,103,1025.35,1033.97,left,64.29504,0.3,2.02,0,1,20.1,-0.10437,0,0.991051,0,20,0.5,distance_threshold,auditory loom,True,1030.79,1035.426,cws_2/ImergenWstopsFull/S001/trackers/road_vertices_T103.csv,cws_2/ImergenWstopsFull/S001/trackers/roadTransformMat_T103.csv,cws_2/ImergenWstopsFull/S001/trackers/simplecar_carTransformMatrix_T103.csv
cws_2,ImergenWstopsFull,1,104,1,104,1035.43,1045.47,right,43.68991,0,2.69,0,1,20.1,2.363935,0,0.832041,0,20,0.5,distance_threshold,auditory loom,True,1040.97,1040.968,cws_2/ImergenWstopsFull/S001/trackers/road_vertices_T104.csv,cws_2/ImergenWstopsFull/S001/trackers/roadTransformMat_T104.csv,cws_2/ImergenWstopsFull/S001/trackers/simplecar_carTransformMatrix_T104.csv
cws_2,ImergenWstopsFull,1,105,1,105,1046.94,1052.53,right,43.68991,0,2.88,0,1,20.1,0.767226,0,0.995365,0,20,0.5,distance_threshold,auditory loom,False,NaN,NaN,cws_2/ImergenWstopsFull/S001/trackers/road_vertices_T105.csv,cws_2/ImergenWstopsFull/S001/trackers/roadTransformMat_T105.csv,cws_2/ImergenWstopsFull/S001/trackers/simplecar_carTransformMatrix_T105.csv
cws_2,ImergenWstopsFull,1,106,1,106,1054,1059.89,left,52.64092,0,1.52,0,1,20.1,-0.053101,0,0.719685,0,20,0.5,distance_threshold,auditory loom,False,NaN,NaN,cws_2/ImergenWstopsFull/S001/trackers/road_vertices_T106.csv,cws_2/ImergenWstopsFull/S001/trackers/roadTransformMat_T106.csv,cws_2/ImergenWstopsFull/S001/trackers/simplecar_carTransformMatrix_T106.csv
cws_2,ImergenWstopsFull,1,107,1,107,1061.35,1067.01,right,63.13271,0.03,2.78,0,1,20.1,0.855117,0,0.979618,0,20,0.5,distance_threshold,auditory loom,False,NaN,1068.473,cws_2/ImergenWstopsFull/S001/trackers/road_vertices_T107.csv,cws_2/ImergenWstopsFull/S001/trackers/roadTransformMat_T107.csv,cws_2/ImergenWstopsFull/S001/trackers/simplecar_carTransformMatrix_T107.csv
cws_2,ImergenWstopsFull,1,108,1,108,1068.48,1078.01,right,43.68991,0,2.65,0,1,20.1,0.529189,0,0.783095,0,20,0.5,distance_threshold,auditory loom,True,1074.33,1074.316,cws_2/ImergenWstopsFull/S001/trackers/road_vertices_T108.csv,cws_2/ImergenWstopsFull/S001/trackers/roadTransformMat_T108.csv,cws_2/ImergenWstopsFull/S001/trackers/simplecar_carTransformMatrix_T108.csv
